Year;Country;Region;Indicator;Gender;Cause;Dim2ValueCode;ValueNumeric;ValueLow;ValueHigh;Value
2016;Kiribati;Western Pacific;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;0.44;0.21;0.75;0.44 [0.21 – 0.75]
2016;Samoa;Western Pacific;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;0.53;0.24;0.91;0.53 [0.24 – 0.91]
2016;Kiribati;Western Pacific;Ambient air pollution attributable deaths;Female;Chronic obstructive pulmonary disease;ENVCAUSE118;0.64;0.24;1.16;0.64 [0.24 – 1.16]
2016;Samoa;Western Pacific;Ambient air pollution attributable deaths;Both sexes;Trachea, bronchus, lung cancers;ENVCAUSE068;0.69;0.32;1.18;0.69 [0.32 – 1.18]
2016;Eswatini;Africa;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;0.72;0.38;1.16;0.72 [0.38 – 1.16]
2016;Brunei Darussalam;Western Pacific;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;0.83;0.14;1.99;0.83 [0.14 – 1.99]
2016;Cabo Verde;Africa;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;0.85;0.5;1.25;0.85 [0.5 – 1.25]
2016;Belize;Americas;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;0.93;0.5;1.44;0.93 [0.5 – 1.44]
2016;Brunei Darussalam;Western Pacific;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;0.96;0.053;2.91;0.96 [0.053 – 2.91]
2016;Comoros;Africa;Ambient air pollution attributable deaths;Both sexes;Trachea, bronchus, lung cancers;ENVCAUSE068;0.97;0.52;1.52;0.97 [0.52 – 1.52]
2016;Mauritania;Africa;Ambient air pollution attributable deaths;Male;Total;ENVCAUSE000;1007.0;842.1;1183.0;1,007 [842.1 – 1,183]
2016;Colombia;Americas;Ambient air pollution attributable deaths;Female;Stroke;ENVCAUSE114;1029.0;725.0;1565.0;1,029 [725 – 1,565]
2016;Latvia;Europe;Ambient air pollution attributable deaths;Both sexes;Ischaemic heart disease;ENVCAUSE113;1031.0;707.5;1357.0;1,031 [707.5 – 1,357]
2016;Mali;Africa;Ambient air pollution attributable deaths;Female;Ischaemic heart disease;ENVCAUSE113;1031.0;841.6;1220.0;1,031 [841.6 – 1,220]
2016;Switzerland;Europe;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;1043.0;710.5;1478.0;1,043 [710.5 – 1,478]
2016;Côte d’Ivoire;Africa;Ambient air pollution attributable deaths;Female;Stroke;ENVCAUSE114;1044.0;854.4;1251.0;1,044 [854.4 – 1,251]
2016;Turkmenistan;Europe;Ambient air pollution attributable deaths;Male;Ischaemic heart disease;ENVCAUSE113;1047.0;845.9;1234.0;1,047 [845.9 – 1,234]
2016;Mozambique;Africa;Ambient air pollution attributable deaths;Both sexes;Stroke;ENVCAUSE114;1049.0;805.2;1341.0;1,049 [805.2 – 1,341]
2016;Angola;Africa;Ambient air pollution attributable deaths;Both sexes;Stroke;ENVCAUSE114;1053.0;843.5;1296.0;1,053 [843.5 – 1,296]
2016;Israel;Europe;Ambient air pollution attributable deaths;Male;Total;ENVCAUSE000;1053.0;859.4;1282.0;1,053 [859.4 – 1,282]
2016;Democratic People's Republic of Korea;South-East Asia;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;1055.0;622.3;1540.0;1,055 [622.3 – 1,540]
2016;Chile;Americas;Ambient air pollution attributable deaths;Both sexes;Stroke;ENVCAUSE114;1058.0;705.8;1664.0;1,058 [705.8 – 1,664]
2016;Iraq;Eastern Mediterranean;Ambient air pollution attributable deaths;Female;Stroke;ENVCAUSE114;1058.0;858.5;1281.0;1,058 [858.5 – 1,281]
2016;Sweden;Europe;Ambient air pollution attributable deaths;Both sexes;Ischaemic heart disease;ENVCAUSE113;1060.0;527.1;1742.0;1,060 [527.1 – 1,742]
2016;Côte d’Ivoire;Africa;Ambient air pollution attributable deaths;Male;Stroke;ENVCAUSE114;1078.0;881.0;1284.0;1,078 [881 – 1,284]
2016;Australia;Western Pacific;Ambient air pollution attributable deaths;Male;Ischaemic heart disease;ENVCAUSE113;1105.0;718.2;1530.0;1,105 [718.2 – 1,530]
2016;Switzerland;Europe;Ambient air pollution attributable deaths;Both sexes;Ischaemic heart disease;ENVCAUSE113;1119.0;666.7;1651.0;1,119 [666.7 – 1,651]
2016;China;Western Pacific;Ambient air pollution attributable deaths;Both sexes;Total;ENVCAUSE000;1150296.0;995339.0;1306513.0;1,150,296 [995,339 – 1,306,513]
2016;Burundi;Africa;Ambient air pollution attributable deaths;Female;Lower respiratory infections;ENVCAUSE039;1160.0;806.6;1542.0;1,160 [806.6 – 1,542]
2016;Guatemala;Americas;Ambient air pollution attributable deaths;Both sexes;Ischaemic heart disease;ENVCAUSE113;1186.0;904.5;1463.0;1,186 [904.5 – 1,463]
2016;Ghana;Africa;Ambient air pollution attributable deaths;Male;Ischaemic heart disease;ENVCAUSE113;1226.0;1013.0;1436.0;1,226 [1,013 – 1,436]
2016;Viet Nam;Western Pacific;Ambient air pollution attributable deaths;Female;Trachea, bronchus, lung cancers;ENVCAUSE068;1226.0;714.8;1805.0;1,226 [714.8 – 1,805]
2016;Democratic People's Republic of Korea;South-East Asia;Ambient air pollution attributable deaths;Male;Trachea, bronchus, lung cancers;ENVCAUSE068;1228.0;724.4;1793.0;1,228 [724.4 – 1,793]
2016;Turkmenistan;Europe;Ambient air pollution attributable deaths;Female;Total;ENVCAUSE000;1245.0;1040.0;1451.0;1,245 [1,040 – 1,451]
