country,total_patients,cancer_cases,avg_age,smokers,avg_cigarettes_per_day,avg_mortality_rate,cancer_rate,smoker_rate
Mexico,8837,336,52.252348081928254,3567,7.048545886613104,2.837995926219303,0.038,0.4036
South Africa,8854,357,52.69030946464875,3528,7.017167381974249,3.0183510277840533,0.0403,0.3985
Ethiopia,8975,409,52.5466295264624,3692,7.167353760445683,3.4289047353760456,0.0456,0.4114
Italy,8802,372,52.2962962962963,3518,7.045557827766417,3.1469654623949106,0.0423,0.3997
Japan,8989,398,52.53710090110135,3594,7.133941484036044,3.323753476471242,0.0443,0.3998
China,8907,338,52.57965644998316,3500,6.906365779723813,2.8399629504883808,0.0379,0.3929
India,8752,335,52.539076782449726,3532,7.086151736745887,2.8689488117001822,0.0383,0.4036
Indonesia,8771,366,52.64416828183788,3550,7.0865351727283095,3.1333416942195846,0.0417,0.4047
France,8920,365,52.34630044843049,3623,7.024327354260089,3.032474215246637,0.0409,0.4062
Egypt,8822,371,52.6386306959873,3514,7.0571299025164365,3.1559623668102508,0.0421,0.3983
Germany,8727,332,52.718116191130974,3501,7.021542339864787,2.838423284060962,0.038,0.4012
Turkey,8966,388,52.509480258755296,3551,6.938545616774482,3.260190720499664,0.0433,0.3961
Brazil,8800,353,52.42931818181818,3506,6.973295454545455,3.057953409090909,0.0401,0.3984
Vietnam,8829,336,52.49745158002039,3548,7.019821044285876,2.8691958319175472,0.0381,0.4019
Myanmar,8819,373,52.304002721396984,3562,7.026987186755868,3.2085826057376114,0.0423,0.4039
Pakistan,8723,346,52.3533188123352,3534,7.08299896824487,2.9747334632580533,0.0397,0.4051
Bangladesh,8821,361,52.883800022673164,3538,6.974039224577712,3.081131390998752,0.0409,0.4011
Russia,8804,340,52.51431167651068,3507,6.950817810086324,2.9169434348023633,0.0386,0.3983
Philippines,8884,351,52.85895992796038,3601,7.065285907248987,2.9452127420081027,0.0395,0.4053
UK,8684,351,52.21890833717181,3433,6.82289267618609,3.063159834177799,0.0404,0.3953
DR Congo,8861,364,52.75318812775082,3488,6.9152465861640895,3.0784031147725983,0.0411,0.3936
Iran,8778,326,52.63454089769879,3509,7.000227842333105,2.7805046707678267,0.0371,0.3997
Thailand,8709,339,52.412332070272136,3414,6.822941784361006,2.9313158801240085,0.0389,0.392
Nigeria,8829,377,52.35145543096613,3521,6.980065692603919,3.209238871899423,0.0427,0.3988
USA,8769,377,52.44075721290911,3510,7.013456494469152,3.225872961569165,0.043,0.4003
